词频排名,单词,阶段,周区间,说明,音标,中文释义,例句
1,the,起点,开始前自测,,ðə,art. 这；那；adv. 更加（用于比较级，最高级前）,
2,of,起点,开始前自测,,ˈʌv,prep. 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当,One of the penalties of fame is loss of privacy.　成名的弊端之一是失掉了隐私。
3,and,起点,开始前自测,,ənd,和；并且,I read and listen every day.　我每天阅读并听英语。
4,to,起点,开始前自测,,ˈtu,（距整点时间）差⋯⋯；prep. 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入；adv. （门等）关上,It galls me to have to apologize to her.　非得向她道歉使我感到恼火。
5,a,起点,开始前自测,,ə,"art. 表示“一(个, 件…)(非特指的)一(个)(同类事物中的)任何一(个)(用于表示时间、速度、价格等意义的)每一(用在某些物质名词和抽象名词前)一阵、一场、一种Aabbr. ampere 安；n. 英语字母表的第1个字母；A音；A类；干线公路；最高收入群体；第一列；第一已知量；表层土壤；A型血；A型号纸；A字形；abbr. 安培（ampere）；A纸牌（ace）；……比……（against）","She's a phony, a fake.　她是个伪君子、骗子。"
6,in,起点,开始前自测,,ɪn,使用（某种语言）；n. （化学元素）铟；n. （美）因（人名）,They lived in rooms in Kensington.　他们住在肯辛顿的出租房间。
7,for,起点,开始前自测,,ˈfɔr,prep. （表示对象、用途等）给，对；为了，以帮助；为了 （表示目的、用途）；（表示感情的对象）对于；代表；受雇于；意思是，表示；支持，拥护；因为，由于；为得到，为获取；换取；就……而言；对（某人）来说；……后（更好、更快乐等）；（表示去向）往，向；（用来表示时间或距离）达，计；（安排或预定）在……时；为 （某场合或时间）；由……负责；要不是；想要；取（某人的）名；表名单或系列中的某些部分；表数字或数量间的联系；表一顿饭中的食物；conj. 因为，由于；abbr. 外国（foreign）；林业（forestry）,He was jailed for life for murder.　他因谋杀罪被终身监禁。
8,is,起点,开始前自测,,ˈɪz,是（与 he、she、it 等搭配）,She is my friend.　她是我的朋友。
9,on,起点,开始前自测,,ˈɑn,prep. 在……之上；向，朝；关于；在……时候；由……支撑；（身上）带着；一……就；吃，喝；接近；根据；挣……钱；以……支付；以……为燃料；在……中；作为……成员；借助（仪器或器械）；与……相比；增加；靠……服用药物；（由电台或电视）播放；忙碌于；adv. 在上面；向前地；继续着，行动中；穿着；（娱乐演出等）上演；（电器）开着地；当班；adj. 开着的；发生着的，正在进行中；之后；覆盖；附着（尤指在正确的位置上）；写着的；正在播出的,The old men blather on and on.　这帮老头儿絮絮叨叨没完没了。
10,that,起点,开始前自测,,ˈðæt,det. 那，那个；那种；pron. 那，那个；那，那种；（非正式）就那样；conj. ……可能是；由于；以至于；（表示目的）为了；（诗、文）真希望,I reckon (that) I'm going to get that job.　我认为我会得到那份工作。
11,by,起点,开始前自测,,ˈbaɪ,由⋯⋯创作；被；由；prep. 由，被；通过，凭借……；相差；在……旁边；到……之前；抓着（身体或东西某个部位）；按照，依据；以……计；在……期间；在（某处）短暂停留；乘以，除以；以……名义（发誓）；就（本性、职业或出身）而言；adv. 经过,They sleep by day and hunt by night.　他们白天睡觉，夜晚捕猎。
12,this,起点,开始前自测,,ˈðɪs,pron. 这，这个；这样；今，本；……的这个；有个；adj. 这，这个（离说话人较近的）；adv. 这样地，这么,This tastes foul.　这个味道很差。
13,with,起点,开始前自测,,ˈwɪð,prep. 和……在一起；具有；用；反对；关于；包括；由于；随着；顺着；受雇于；虽然；支持；穿着；受……影响；表示与某物分离；由……负责；n. （With）（美、印、俄）维特（人名）,He's more comfortable with computers than with people.　比起与人相处，他和电脑打交道更能应付自如。
14,i,起点,开始前自测,,ˈaɪ,我（写作时大写 I）,I am learning English.　我正在学英语。
15,you,起点,开始前自测,,ˈju,你；你们,You are very kind.　你很友善。
16,it,起点,开始前自测,,ˈɪt,信息技术；abbr. 信息技术（information technology）；abbr. （It.）意大利（Italy）；意大利的（Italian）,"It really isn't half bad, is it?　这的确很不错，对吗？"
17,not,起点,开始前自测,,ˈnɑt,adv. 表示否定，不；n. “非”（计算机中逻辑运算的一种）,Transport not incl.　不包括运输
18,or,起点,开始前自测,,ˈɔr,conj. （用以引出另一种可能性）或，或者，还是；（用于否定动词后）也不；（用于警告或忠告）否则，不然；（用于两个数字之间表示约略数目）大约；（用于引出解释性词语）或者说；（用于说明原因）不然，否则；（用于引出对比的概念）；<文>还是；n. （电子）（逻辑电路的）或（OR）；（纹章）金色，黄色；abbr. 俄勒冈州（Oregon）；手术室（operating room）；运筹学（operational research）；普通士兵（other ranks）,I don't drink whisky or brandy or any other spirits.　我不喝威士忌和白兰地，也不喝其他烈性酒。
19,be,起点,开始前自测,,ˈbi,aux. 被（用于被动语态）；正，正在（用于进行时）；v. 是；有，存在；做，成为；发生；n. （Be）（缅）拜；（日）部（姓）；（朝）培；（中非）贝（人名）,Allah be praised.　感谢真主！
20,are,起点,开始前自测,,ˈɑr,是（与 you、we、they 等搭配）,We are ready.　我们准备好了。
21,from,起点,开始前自测,,ˈfrʌm,来自,Where are you from?　你来自哪里？
22,at,起点,开始前自测,,ˈæt,prep. 在（表示存在或出现的地点、场所、位置、空间）；在……岁时；在……远；以（某种价格、速度等）；向，朝；处于……状态；处于最佳（或最差等）状态；达；因为；在……方面；响应；忙于；（武器）瞄准；用，以；（抓）住；从事于；冲（某人……）；n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）；abbr. 密封的（airtight）；大气（atmosphere）；原子的（atomic）；气温（air temperature）,I was good at sums at school.　我上学时擅长算术。
23,as,起点,开始前自测,,ˈæz,作为；当；abbr. 亚洲（Asia）；亚洲人（Asian）,He's as stubborn as a mule.　他像骡子一样倔。
24,your,起点,开始前自测,,ˈjɔr,你的；你们的,Is this your bag?　这是你的包吗？
25,all,起点,开始前自测,,ˈɔl,det. 全部；每一个；极度，尽量；无论什么，任何；唯一，仅仅；adj. 全部的；每一个的；任何的；尽可能多的；全然是……的，完全表现出……的；（某一体征）显著突出的；adv. 完全地；各方，各选手；非常，太,It's all sorted.　一切都办妥了。
26,have,起点,开始前自测,,ˈhæv,v. 拥有；有（想法、主意、观点等）；显示出，带有（性质、特征）；做，进行（活动）；吃，喝，抽（烟）；患病，得病；得到，收到；经历，经受；担负（责任）；导致，产生（影响）；生，生育；包括；使保持，使处于；明白，懂得；抓住，紧握；<非正式>欺骗；让，叫，命令；照看；（在家中）招待，款待；允许，容忍；<非正式>辩过，胜过；已经，曾经（与过去分词连用构成完成时）；与（某人）性交；n. <非正式>有钱人（the haves）；<英，非正式>诈骗；【名】 （Have）（德）哈弗，（芬）哈韦（人名）,Profits have stagnated.　利润原地踏步。
27,new,起点,开始前自测,,ˈnu,Zealander，新西兰人；adj. 新出现的，新兴的；新买的；未用过的，崭新的；有别于从前的，新颖的；新发现的，新近知道的；生疏的，未体验过的；现代的，最新型的；新时期的，新开始的；富有朝气的，生气勃勃的；时鲜的（蔬菜）；更新的，变样的；adv. （用于构成复合词）新的，新近的,This idea isn't new.　这主意不新鲜。
28,more,起点,开始前自测,,ˈmɔr,det. （数、量等）更多的，更大的（much、a lot of 和 many 的比较级）；另外的，附加的；pron. （数、量等）更多的，更大的（much、a lot of 和 many 的比较级）；多了的部分；adv. 更；（程度上）更强，更多；继续，再；又一次；还有，再者；额外地；更像（前者）地,More and more people are using the Internet.　越来越多人在使用互联网。
29,an,起点,开始前自测,,ˈæn,det. 一个（用于元音前）；art. 一（在元音音素前）,An iron bar stuck out at an angle.　一根铁条成一定角度地突出来。
30,was,起点,开始前自测,释义待核实，不进入核心练习,ˈwɑz,释义待核实，不计入核心练习,
31,we,起点,开始前自测,,ˈwi,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人；n. （We）人名；（缅）韦,We can dress as we wish now.　我们如今想穿什么就可以穿什么。
32,will,起点,开始前自测,,ˈwɪl,将要；愿意,I will practise tomorrow.　我明天会练习。
33,home,起点,开始前自测,,ˈhoʊm,家,I am at home.　我在家。
34,can,起点,开始前自测,,ˈkæn,能；可以,I can introduce myself.　我能介绍自己。
35,us,起点,开始前自测,,ˈʌs,美国,Traffic zoomed past us.　车辆从我们身边疾驰而过。
36,about,起点,开始前自测,,əˈbaʊt,大约，大致；adv. 大约；几乎；到处，各处；无所事事；周围，在……附近；无序地，凌乱地；朝相反方向；prep. 关于，对于；目的是；针对（问题）；忙于，从事于；对……表示（情绪或心态）；各处，四下；在……附近；（某人或某事物）具有（某种特性）；围绕,It costs about $10.　这大约要花10元钱。
37,if,起点,开始前自测,,ˈɪf,conj. （表条件）如果；（表假设）要是，假如；无论何时；虽然，即使；（用于间接疑问）是否；（用于礼貌问询）是否；当，每次；（与情态动词连用）表婉转客气；这不是……，要是……多好；或许不；就算；尽管；n. 条件，设想；不确定的情况,I'll be there if poss.　如果可能我会去那里的。
38,page,起点,开始前自测,,ˈpeɪdʒ,n. （书、报纸、文件等的）页，面；网页；历史重要事件（或时期），历史篇章；<英>伴童，（新娘的）小男傧相；（旅馆或俱乐部中通常身穿制服的）男侍从，听差；（中世纪作为接受骑士训练服侍某个骑士的）学习骑士；（旧时高层人员的）男侍从；<美>（美国议员的）青年助理（本身为学生）；v. （在公共场所）用扩音器呼叫（某人或发布信息）；用寻呼机呼叫（某人）；随意翻阅，浏览（page through）；（软件、数据的）分页（存储）；为……编页码，为……标注页码；【名】 （Page）（西）帕赫，（英）佩奇，（意）帕杰，（法）帕日（人名）,Let's begin at page 9.　咱们从第9页开始。
39,my,起点,开始前自测,,ˈmaɪ,我的,This is my book.　这是我的书。
40,has,起点,开始前自测,释义待核实，不进入核心练习,ˈhæz,释义待核实，不计入核心练习,
41,search,起点,开始前自测,,ˈsɝtʃ,v. 搜查，搜寻；搜查（地方，车辆），搜……的身；思索，细想（问题答案等）；细察，细查；（用计算机）搜索，检索；n. 搜寻，搜查；探索，寻求；（计算机的）搜索，检索；<律>调查地产负担；【名】 （Search）（印、美）瑟奇（人名）,You can't rush a search.　你不能匆忙做搜寻工作。
42,free,起点,开始前自测,,ˈfri,adj. 免费的；自由的；随心所欲的；不含..…的；免于，不遭受；空闲的；未使用的，空着的；无阻碍的；不拘泥于原文的；游离的；不吝惜的；干净整洁的；不含……的；（风）顺的；adv. 自由地；免费地；帆脚索被松开地；v. 释放；使解脱出来；使免于；使可用于；使能腾出时间,Free moorings will be available.　将有免费停泊处。
43,but,起点,开始前自测,,ˈbʌt,但是,"It is difficult, but I will try.　这很难，但我会试试。"
44,our,起点,开始前自测,,ˈaʊɚ,det. 我们的,Our plan succeeded.　我们的计划成功了。
45,one,起点,开始前自测,,ˈwʌn,num. 一；一个；一岁；一点钟；pron. 一个人；任何人，人们（表泛指）；那个人；（特指的）那种人；det. 一个（强调某人或某事）；一个（用于比较相似的人或物）；某个（用于不认识的人的名字前）,"One more, please!　请再来一个！"
46,other,起点,开始前自测,,ˈʌðɚ,adj. （表示与已知的人或事物不同）别的，另外的；（表示在与已知的人或事物同一类中）别的，另外的；（两个中）另一的；（一组人或事物中）其余的；（用于列举之后）其他的；对面的，相反方向的；（泛指）别（人）的，他（人）的；最近的，前不久的；pron. （表示与已知的人或事物不同）另外；（表示在与已知的人或事物同一类中）另外；（两个中）另一个（the other）；其余的人（或事物）（the others）；（用于列举之后）其他；对面，相反方向（the other）；<非正式>性交（the other）；v. 将……看作异类，以异类对待,Other problems may follow.　其它问题也许会随之而来。
